transaction_id,purchasing_time,customer_id,product_id,price_per_unit,unit,destination_district,destination_province,postal_code
trans_57,2022-10-03 00:58,56,fer-02,40.00,1,เมืองสมุทรปราการ,สมุทรปราการ,10270
trans_57,2022-10-03 00:58,56,sun-04,35.00,1,เมืองสมุทรปราการ,สมุทรปราการ,10270
trans_58,2022-10-02 15:24,57,fer-01,40.00,1,ห้วยขวาง,กรุงเทพมหานคร,10310
trans_58,2022-10-02 15:24,57,sun-02,25.00,2,ห้วยขวาง,กรุงเทพมหานคร,10310
trans_58,2022-10-02 15:24,57,fer-03-02,89.00,1,ห้วยขวาง,กรุงเทพมหานคร,10310
trans_59,2022-10-02 13:42,58,dec-pot-01,29.00,4,เมืองเชียงใหม่,เชียงใหม่,50000
trans_59,2022-10-02 13:42,58,til-04,20.00,5,เมืองเชียงใหม่,เชียงใหม่,50000
trans_59,2022-10-02 13:42,58,til-02,5.00,5,เมืองเชียงใหม่,เชียงใหม่,50000
trans_60,2022-10-01 02:11,59,air-01,69.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_60,2022-10-01 02:11,59,mmk-02,20.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_60,2022-10-01 02:11,59,mmk-04,20.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_60,2022-10-01 02:11,59,air-02-04,49.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_61,2022-10-04 07:11,60,til-01,5.00,1,เมืองเชียงใหม่,เชียงใหม่,50300
trans_61,2022-10-04 07:11,60,til-02,5.00,1,เมืองเชียงใหม่,เชียงใหม่,50300
trans_61,2022-10-04 07:11,60,pot-bella-2212b,89.00,1,เมืองเชียงใหม่,เชียงใหม่,50300
trans_61,2022-10-04 07:11,60,sun-04,35.00,1,เมืองเชียงใหม่,เชียงใหม่,50300
trans_62,2022-10-02 11:18,61,phi-03-06,150.00,1,เมืองสงขลา,สงขลา,90000
trans_62,2022-10-02 11:18,61,phi-02-06,50.00,1,เมืองสงขลา,สงขลา,90000
trans_62,2022-10-02 11:18,61,plu-15-04,39.00,1,เมืองสงขลา,สงขลา,90000
trans_62,2022-10-02 11:18,61,plu-01-04,35.00,1,เมืองสงขลา,สงขลา,90000
